"Root"	"RelativePath"	"Bytes"	"Extension"
"FkWeChat_1.2.6-extracted"	"AndroidManifest.xml"	"7416"	".xml"
"FkWeChat_1.2.6-extracted"	"assets\assets.zip"	"9034"	".zip"
"FkWeChat_1.2.6-extracted"	"assets\assets\+1.png"	"834"	".png"
"FkWeChat_1.2.6-extracted"	"assets\assets\about.png"	"2010"	".png"
"FkWeChat_1.2.6-extracted"	"assets\assets\ai.png"	"2542"	".png"
"FkWeChat_1.2.6-extracted"	"assets\assets\analy.png"	"630"	".png"
"FkWeChat_1.2.6-extracted"	"assets\assets\icon.png"	"2530"	".png"
"FkWeChat_1.2.6-extracted"	"assets\dexopt\baseline.prof"	"8652"	".prof"
"FkWeChat_1.2.6-extracted"	"assets\dexopt\baseline.profm"	"1270"	".profm"
"FkWeChat_1.2.6-extracted"	"assets\protected_by_np\ApkDex2CPro_c35bd4c930a0407088b93d251f6cadd9.txt"	"142"	".txt"
"FkWeChat_1.2.6-extracted"	"assets\PublicSuffixDatabase.list"	"132737"	".list"
"FkWeChat_1.2.6-extracted"	"assets\xposed_init"	"38"	""
"FkWeChat_1.2.6-extracted"	"classes.dex"	"13374992"	".dex"
"FkWeChat_1.2.6-extracted"	"classes2.dex"	"7473808"	".dex"
"FkWeChat_1.2.6-extracted"	"classes3.dex"	"39024"	".dex"
"FkWeChat_1.2.6-extracted"	"customize.sh"	"1342"	".sh"
"FkWeChat_1.2.6-extracted"	"DebugProbesKt.bin"	"1733"	".bin"
"FkWeChat_1.2.6-extracted"	"kotlin\annotation\annotation.kotlin_builtins"	"1022"	".kotlin_builtins"
"FkWeChat_1.2.6-extracted"	"kotlin\collections\collections.kotlin_builtins"	"8625"	".kotlin_builtins"
"FkWeChat_1.2.6-extracted"	"kotlin\concurrent\atomics\atomics.kotlin_builtins"	"2882"	".kotlin_builtins"
"FkWeChat_1.2.6-extracted"	"kotlin\coroutines\coroutines.kotlin_builtins"	"139"	".kotlin_builtins"
"FkWeChat_1.2.6-extracted"	"kotlin\internal\internal.kotlin_builtins"	"596"	".kotlin_builtins"
"FkWeChat_1.2.6-extracted"	"kotlin\kotlin.kotlin_builtins"	"30920"	".kotlin_builtins"
"FkWeChat_1.2.6-extracted"	"kotlin\ranges\ranges.kotlin_builtins"	"4353"	".kotlin_builtins"
"FkWeChat_1.2.6-extracted"	"kotlin\reflect\reflect.kotlin_builtins"	"4859"	".kotlin_builtins"
"FkWeChat_1.2.6-extracted"	"lib\arm64-v8a\libandroidx.graphics.path.so"	"10096"	".so"
"FkWeChat_1.2.6-extracted"	"lib\arm64-v8a\libdexkit.so"	"381024"	".so"
"FkWeChat_1.2.6-extracted"	"lib\arm64-v8a\libfkw.so"	"1557976"	".so"
"FkWeChat_1.2.6-extracted"	"lib\arm64-v8a\libsilk_codec.so"	"347328"	".so"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.activity_activity.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.activity_activity-compose.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.activity_activity-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.annotation_annotation-experimental.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.appcompat_appcompat-resources.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.arch.core_core-runtime.version"	"67"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.autofill_autofill.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.animation_animation.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.animation_animation-core.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.foundation_foundation.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.foundation_foundation-layout.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.material_material-icons-core.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.material_material-icons-extended.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.material_material-ripple.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.material3_material3.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.runtime_runtime.version"	"7"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.runtime_runtime-annotation.version"	"7"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.runtime_runtime-retain.version"	"7"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.runtime_runtime-saveable.version"	"7"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.ui_ui.version"	"7"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.ui_ui-geometry.version"	"7"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.ui_ui-graphics.version"	"7"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.ui_ui-text.version"	"7"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.ui_ui-unit.version"	"7"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.compose.ui_ui-util.version"	"7"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.core_core.version"	"7"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.core_core-ktx.version"	"7"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.core_core-viewtree.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.customview_customview-poolingcontainer.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.databinding_viewbinding.version"	"5"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.documentfile_documentfile.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.dynamicanimation_dynamicanimation.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.emoji2_emoji2.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.exifinterface_exifinterface.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.graphics_graphics-path.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.interpolator_interpolator.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.legacy_legacy-support-core-utils.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-livedata.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-livedata-core.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-livedata-core-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-process.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-runtime.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-runtime-compose.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-runtime-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-viewmodel.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-viewmodel-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.lifecycle_lifecycle-viewmodel-savedstate.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.loader_loader.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.localbroadcastmanager_localbroadcastmanager.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.print_print.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.profileinstaller_profileinstaller.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.savedstate_savedstate.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.savedstate_savedstate-compose.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.savedstate_savedstate-ktx.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.startup_startup-runtime.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.tracing_tracing.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.transition_transition.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.vectordrawable_vectordrawable.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.vectordrawable_vectordrawable-animated.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.versionedparcelable_versionedparcelable.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.window_window.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\androidx.window_window-core.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\com\android\build\gradle\app-metadata.properties"	"56"	".properties"
"FkWeChat_1.2.6-extracted"	"META-INF\kotlinx_coroutines_android.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\kotlinx_coroutines_core.version"	"6"	".version"
"FkWeChat_1.2.6-extracted"	"META-INF\native-image\com.alibaba.fastjson2\fastjson2\native-image.properties"	"1903"	".properties"
"FkWeChat_1.2.6-extracted"	"META-INF\native-image\okhttp\okhttp\native-image.properties"	"144"	".properties"
