class_index	got_address	relocation_type	target_address	symbol
0	0x178748	1027	0x2DD24	
1	0x178750	1027	0x410A4	
2	0x178758	1027	0x480E4	
3	0x178760	1027	0x49E64	
4	0x178768	1027	0x73E80	
5	0x178770	1027	0x76D58	
6	0x178778	1027	0x83758	
7	0x178780	1027	0x80C40	
8	0x178788	1027	0x7B2D8	
9	0x178790	1027	0x865A4	
10	0x178798	1027	0x89EAC	
11	0x1787A0	1027	0x8CFA4	
12	0x1787A8	1027	0x999C8	
13	0x1787B0	1027	0xB01F8	
14	0x1787B8	1027	0xABB28	
15	0x1787C0	1027	0x71528	
16	0x1787C8	1027	0xB44AC	
17	0x1787D0	1027	0x2C7F4	
18	0x1787D8	1027	0x12B604	
19	0x1787E0	1027	0xC5438	
20	0x1787E8	1027	0xF28DC	
21	0x1787F0	1027	0xF7230	
22	0x1787F8	1027	0xF8010	
23	0x178800	1027	0xFADDC	
24	0x178808	1027	0xE9CF0	
25	0x178810	1027	0xC68C0	
26	0x178818	1027	0xC727C	
27	0x178820	1027	0xD1ACC	
28	0x178828	1027	0xDA3B0	
29	0x178830	1027	0xDBA48	
30	0x178838	1027	0xDC7B8	
31	0x178840	1027	0xDD510	
32	0x178848	1027	0xD8EA0	
33	0x178850	1027	0xDF924	
34	0x178858	1027	0xE059C	
35	0x178860	1027	0xE23B4	
36	0x178868	1027	0xFE270	
37	0x178870	1027	0x1010AC	
38	0x178878	1027	0x118768	
39	0x178880	1027	0x11AD24	
40	0x178888	1027	0x111F78	
41	0x178890	1027	0x13C334	
42	0x178898	1027	0x147FF4	
