name	virtual_address	size	type	section
__cxa_atexit	0x0	0	STT_FUNC	SHN_UNDEF
__cxa_finalize	0x0	0	STT_FUNC	SHN_UNDEF
__errno	0x0	0	STT_FUNC	SHN_UNDEF
__memmove_chk	0x0	0	STT_FUNC	SHN_UNDEF
__sF	0x0	0	STT_OBJECT	SHN_UNDEF
__stack_chk_fail	0x0	0	STT_FUNC	SHN_UNDEF
__strlen_chk	0x0	0	STT_FUNC	SHN_UNDEF
__vsnprintf_chk	0x0	0	STT_FUNC	SHN_UNDEF
abort	0x0	0	STT_FUNC	SHN_UNDEF
android_set_abort_message	0x0	0	STT_FUNC	SHN_UNDEF
calloc	0x0	0	STT_FUNC	SHN_UNDEF
closelog	0x0	0	STT_FUNC	SHN_UNDEF
dl_iterate_phdr	0x0	0	STT_FUNC	SHN_UNDEF
fflush	0x0	0	STT_FUNC	SHN_UNDEF
fprintf	0x0	0	STT_FUNC	SHN_UNDEF
fputc	0x0	0	STT_FUNC	SHN_UNDEF
free	0x0	0	STT_FUNC	SHN_UNDEF
malloc	0x0	0	STT_FUNC	SHN_UNDEF
memchr	0x0	0	STT_FUNC	SHN_UNDEF
memcmp	0x0	0	STT_FUNC	SHN_UNDEF
memcpy	0x0	0	STT_FUNC	SHN_UNDEF
memmove	0x0	0	STT_FUNC	SHN_UNDEF
memset	0x0	0	STT_FUNC	SHN_UNDEF
nanosleep	0x0	0	STT_FUNC	SHN_UNDEF
openlog	0x0	0	STT_FUNC	SHN_UNDEF
posix_memalign	0x0	0	STT_FUNC	SHN_UNDEF
pthread_cond_broadcast	0x0	0	STT_FUNC	SHN_UNDEF
pthread_cond_destroy	0x0	0	STT_FUNC	SHN_UNDEF
pthread_cond_signal	0x0	0	STT_FUNC	SHN_UNDEF
pthread_cond_timedwait	0x0	0	STT_FUNC	SHN_UNDEF
pthread_cond_wait	0x0	0	STT_FUNC	SHN_UNDEF
pthread_create	0x0	0	STT_FUNC	SHN_UNDEF
pthread_detach	0x0	0	STT_FUNC	SHN_UNDEF
pthread_equal	0x0	0	STT_FUNC	SHN_UNDEF
pthread_getspecific	0x0	0	STT_FUNC	SHN_UNDEF
pthread_join	0x0	0	STT_FUNC	SHN_UNDEF
pthread_key_create	0x0	0	STT_FUNC	SHN_UNDEF
pthread_key_delete	0x0	0	STT_FUNC	SHN_UNDEF
pthread_mutex_destroy	0x0	0	STT_FUNC	SHN_UNDEF
pthread_mutex_init	0x0	0	STT_FUNC	SHN_UNDEF
pthread_mutex_lock	0x0	0	STT_FUNC	SHN_UNDEF
pthread_mutex_trylock	0x0	0	STT_FUNC	SHN_UNDEF
pthread_mutex_unlock	0x0	0	STT_FUNC	SHN_UNDEF
pthread_mutexattr_destroy	0x0	0	STT_FUNC	SHN_UNDEF
pthread_mutexattr_init	0x0	0	STT_FUNC	SHN_UNDEF
pthread_mutexattr_settype	0x0	0	STT_FUNC	SHN_UNDEF
pthread_once	0x0	0	STT_FUNC	SHN_UNDEF
pthread_self	0x0	0	STT_FUNC	SHN_UNDEF
pthread_setspecific	0x0	0	STT_FUNC	SHN_UNDEF
realloc	0x0	0	STT_FUNC	SHN_UNDEF
sched_yield	0x0	0	STT_FUNC	SHN_UNDEF
snprintf	0x0	0	STT_FUNC	SHN_UNDEF
strcmp	0x0	0	STT_FUNC	SHN_UNDEF
strerror_r	0x0	0	STT_FUNC	SHN_UNDEF
strlen	0x0	0	STT_FUNC	SHN_UNDEF
strtod	0x0	0	STT_FUNC	SHN_UNDEF
strtof	0x0	0	STT_FUNC	SHN_UNDEF
strtol	0x0	0	STT_FUNC	SHN_UNDEF
strtold	0x0	0	STT_FUNC	SHN_UNDEF
strtoll	0x0	0	STT_FUNC	SHN_UNDEF
strtoul	0x0	0	STT_FUNC	SHN_UNDEF
strtoull	0x0	0	STT_FUNC	SHN_UNDEF
swprintf	0x0	0	STT_FUNC	SHN_UNDEF
syscall	0x0	0	STT_FUNC	SHN_UNDEF
sysconf	0x0	0	STT_FUNC	SHN_UNDEF
syslog	0x0	0	STT_FUNC	SHN_UNDEF
vasprintf	0x0	0	STT_FUNC	SHN_UNDEF
vfprintf	0x0	0	STT_FUNC	SHN_UNDEF
vsnprintf	0x0	0	STT_FUNC	SHN_UNDEF
wcslen	0x0	0	STT_FUNC	SHN_UNDEF
wcstod	0x0	0	STT_FUNC	SHN_UNDEF
wcstof	0x0	0	STT_FUNC	SHN_UNDEF
wcstol	0x0	0	STT_FUNC	SHN_UNDEF
wcstold	0x0	0	STT_FUNC	SHN_UNDEF
wcstoll	0x0	0	STT_FUNC	SHN_UNDEF
wcstoul	0x0	0	STT_FUNC	SHN_UNDEF
wcstoull	0x0	0	STT_FUNC	SHN_UNDEF
