index	decoded
0	lin.xposed
1	喵喵喵喵喵喵喵呜~喵喵喵呜喵喵喵喵~喵喵喵呜喵呜呜喵~喵喵喵喵呜呜喵呜~喵喵喵喵喵呜喵喵~喵喵喵呜呜呜呜呜~喵喵喵喵喵呜喵喵
2	喵喵喵喵喵喵呜呜~喵喵喵喵喵喵喵喵~喵喵喵呜呜喵喵喵~喵喵喵喵喵呜喵喵~喵喵喵喵呜呜喵喵~喵喵喵呜呜呜呜呜~喵喵喵喵呜喵喵呜
3	喵呜喵喵喵喵喵呜~喵呜喵呜呜喵呜呜~喵呜喵喵呜呜喵喵~喵呜喵喵喵呜呜喵~喵呜喵呜喵呜呜喵
4	NewQStory
5	/data/list/
6	/data/plugin/
7	/databases/
8	/data/simple/
9	AES/ECB/PKCS5Padding
10	android.app.ActivityThread
11	sCurrentActivityThread
12	mActivities
13	activity
14	未能读取足够的字节来判断图片类型
15	非记录在内的图像格式
16	path No exists :
17	Non-file type :
18	path No exists(文件不存在) 
19	Empty File object
20	Non-file type(这个File是文件夹而不是文件) :
21	path No exists(源文件不存在) : 
22	Not a file, but a directory(不是文件) : 
23	targetFile , Empty File object
24	create File Fail :
25	User-Agent
26	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
27	Connection
28	keep-alive
29	Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36
30	下文件失败:
31	 到路径:
32	application/json; charset=utf-8
33	Unexpected code 
34	Mozilla/5.0 (Linux; Android 14; V2309) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36
35	connection
36	Keep-Alive
37	multipart/form-data
38	Charsert
39	Content-Type
40	;boundary=
41	Content-Disposition: form-data; name="
42	Content-Type: text/plain; charset=
43	Content-Transfer-Encoding: 8bit
44	Content-Disposition: form-data; name="file"; filename="
45	Content-Type: application/octet-stream; charset=
46	clipboard
47	navigation_bar_height
48	status_bar_height
49	AndroidManifest.xml
50	创建解压目标文件夹失败
51	/imagefiles
52	压缩完成，耗时：
53	zip error from ZipUtils
54	不存在
55	不是文件夹
56	Missing required view with ID: 
57	rootView
58	com.tencent.mobileqq|com.tencent.tim
59	com.tencent.mobileqq
60	com.tencent.tim
61	com.tencent.mobileqq:MSF
62	onResume
63	com.tencent.mobileqq.app.automator.step.InitTabData
64	delayHook
65	com.tencent.mobileqq.startup.step.LoadData
66	.nomedia
67	[QStory] 
68	 startLoad
69	 Loading Time 
70	/qs_config
71	/data/xphelper
72	com.tencent.common.app.BaseApplicationImpl
73	onCreate
74	attachBaseContext
75	/Log/Crash/MainCrash.log
76	闪退日志保存在
77	 点击可以复制并测试闪退 日志仅保留最新的一份
78	主线程闪退已拦截
79	路径已复制
80	kotlin.jvm.functions.Function0
81	com.tencent.mobileqq.setting.processor
82	getActivity
83	com.tencent.mobileqq.widget.FormSimpleItem
84	反射获取布局异常 \n
85	没有获取到父布局
86	setLeftText
87	setRightText
88	设置入口项没有成功注入
89	com.tencent.mobileqq.setting.main.NewSettingConfigProvider
90	com.tencent.mobileqq.setting.main.b
91	com.tencent.mobileqq.setting.main.MainSettingConfigProvider
92	com.tencent.mobileqq.activity.QQSettingSettingActivity
93	doOnCreate
94	doOnCreateView
95	Java脚本
96	在线脚本
97	/Log/Crash/ThreadCrash.log
98	子线程闪退已拦截
99	语音图标初始化完成
100	语音保存在
101	单击可以复制
102	复制成功
103	复制失败
104	/voice_icon.png
105	重启生效
106	com.tencent.qqnt.chats.biz.guild.GuildDiscoveryItemBuilder
107	com.tencent.qqnt.chats.core.adapter.
108	com.tencent.qqnt.chats.core.adapter.holder.RecentContactItemHolder
109	com.tencent.qqnt.chats.core.adapter.builder.
110	com.tencent.qqnt.chats.core.ui.ChatsListVBS$
111	findClass is null
112	com.tencent.qqnt.chats.core.adapter.holder
113	chatSwipeLayout
114	com.tencent.qqnt.chats.core.adapter.holder.RecentContactItemBinding
115	RecentContactChatItem
116	contactType=16
117	com.tencent.qqnt.notification.NotificationFacade
118	mqq.app.AppRuntime
119	com.tencent.qqnt.kernel.nativeinterface.NotificationCommonInfo
120	com.tencent.qqnt.kernel.nativeinterface.RecentContactInfo
121	始终没有找到合适的方法
122	com.tencent.mobileqq.app.QQAppInterface
123	notifyMessageReceived
124	com.tencent.imcore.message.Message
125	chatType
126	abstractContent
127	@全体成员
128	艾特全体
129	chatType=2 atType=1
130	content=[@全体成员]
131	abstractContent=@全体成员
132	PictureSummary
133	com.tencent.qqnt.kernel.nativeinterface.Contact
134	java.util.ArrayList
135	java.util.HashMap
136	com.tencent.qqnt.kernel.nativeinterface.IOperateCallback
137	com.tencent.qqnt.kernel.nativeinterface.IKernelMsgService$CppProxy
138	点击以设置图片/表情显示的文本
139	设置为:
140	getPicElement
141	emojiFrom
142	setSummary
143	com.tencent.richframework.gallery.part.RFWLayerAnimPart
144	initStartAnim
145	updateBackgroundAlpha
146	dragLayout
147	mDragLayout
148	windowBgDrawable
149	mWindowBgDrawable
150	com.tencent.qphone.base.util.QLogItemManager$WriteHandler
151	com.tencent.qphone.base.util.QLog
152	elements
153	getArkElement
154	bytesData
155	长按复制卡片
156	已复制
157	仅支持QQNT
158	com.tencent.qqnt.aio.menu.ui.QQCustomMenuExpandableLayout
159	com.tencent.qqnt.aio.menu.ui.QQCustomMenuNoIconLayout
160	com.tencent.mobileqq.aio.msg.AIOMsgItem
161	com.tencent.mobileqq.aio.msglist.holder.component.pic.AIOPicContentComponent
162	com.tencent.mobileqq.aio.msglist.holder.component.mix.AIOMixContentComponent
163	com.tencent.mobileqq.aio.msglist.holder.component.BaseContentComponent
164	getMsgRecord
165	复制图链
