??,????,????,??,?????
0,0x4000,0x4E20,3616,sub_4000
1,0x4E20,0x4ED4,180,sub_4E20
2,0x4ED4,0x55C0,1772,sub_4ED4
3,0x55C0,0x567C,188,sub_55C0
4,0x567C,0x5730,180,sub_567C
5,0x5730,0x5DC4,1684,sub_5730
6,0x5DC4,0x5F1C,344,sub_5DC4
7,0x5F1C,0x652C,1552,sub_5F1C
8,0x652C,0x6580,84,sub_652C
9,0x6580,0x6620,160,sub_6580
10,0x6620,0x6684,100,sub_6620
11,0x6684,0x6718,148,sub_6684
12,0x6718,0x6934,540,sub_6718
13,0x6934,0x69F0,188,sub_6934
14,0x69F0,0x6AC4,212,sub_69F0
15,0x6AC4,0x6AE8,36,sub_6AC4
16,0x6AE8,0x6BA8,192,sub_6AE8
17,0x6BA8,0x6C74,204,sub_6BA8
18,0x6C74,0x73DC,1896,sub_6C74
19,0x73DC,0x7474,152,sub_73DC
20,0x7474,0x7530,188,sub_7474
21,0x7530,0x75CC,156,sub_7530
22,0x75CC,0x7CFC,1840,sub_75CC
23,0x7CFC,0x7FCC,720,sub_7CFC
24,0x7FCC,0x8378,940,sub_7FCC
25,0x8378,0x846C,244,sub_8378
26,0x846C,0x8584,280,sub_846C
27,0x8584,0x86A8,292,sub_8584
28,0x86A8,0x87AC,260,sub_86A8
29,0x87AC,0x88A4,248,sub_87AC
30,0x88A4,0x8938,148,sub_88A4
31,0x8938,0x8944,12,sub_8938
32,0x8944,0x894C,8,sub_8944
33,0x894C,0x8C00,692,sub_894C
34,0x8C00,0x8CA8,168,sub_8C00
35,0x8CA8,0x8D48,160,sub_8CA8
36,0x8D48,0x8E18,208,sub_8D48
37,0x8E18,0x8F00,232,sub_8E18
38,0x8F00,0x9488,1416,sub_8F00
39,0x9488,0x9494,12,sub_9488
40,0x9494,0x949C,8,sub_9494
41,0x949C,0x9520,132,sub_949C
42,0x9520,0x952C,12,sub_9520
43,0x952C,0x9540,20,sub_952C
44,0x9540,0x954C,12,sub_9540
45,0x954C,0x95DC,144,sub_954C
