function	callsite	destination	source	key_len	output_len	printable_score	text
0x1B4004	0x944D8	0x2A8740	0x2E20E	10	28	1.000	https://jx.yhyun.asia/dmkpz
0x1B4268	0x94544	0x2A8760	0x2E26B	25	6	1.000	YH_YC
0x1B4400	0x945AC	0x2A876C	0x2E2AB	17	65	1.000	1c100d799f0a33b7b6bea3d0c87d029942aed0d76068513727164b455707ea70
0x1B44E4	0x94614	0x2A87B4	0x2E319	18	9	1.000	/api.php
0x1B45E0	0x9468C	0x2A87C4	0x2E344	25	5	1.000	?id=
0x1B46C4	0x946D4	0x2A87D0	0x2E390	21	16	1.000	&file=zljx.json
0x1B4B80	0x948F0	0x2A87F8	0x2E416	12	20	1.000	?action=libcurl&id=
0x1B4EBC	0x94ACC	0x2A8828	0x2E499	26	5	1.000	&id=
0x1B5064	0x94B68	0x2A8834	0x2E4EC	16	19	1.000	/data/adb/modules/
0x1B520C	0x94C84	0x2A884C	0x2E54D	15	26	1.000	/data/adb/modules_update/
0x1B541C	0x94CF4	0x2A886C	0x2E5A0	21	14	1.000	/data/adb/YH/
0x1B55E8	0x94D5C	0x2A8880	0x2E5E7	23	6	1.000	/conf
0x1B56BC	0x94DC8	0x2A888C	0x2E632	27	5	1.000	/tmp
0x1B6098	0x95278	0x2A88C8	0x2E70A	18	5	1.000	/pkg
0x1B6244	0x95344	0x2A88D4	0x2E73A	22	5	1.000	/lib
0x1B63D4	0x9541C	0x2A88E0	0x2E768	30	7	1.000	/webui
0x1B64D8	0x954EC	0x2A88EC	0x2E7CC	22	13	1.000	/vbmeta.hash
0x1B65BC	0x955E0	0x2A8900	0x2E812	26	13	1.000	/config.prop
0x1B676C	0x956B0	0x2A8914	0x2E867	16	12	1.000	/state.prop
0x1B6858	0x957F0	0x2A8924	0x2E8AC	21	30	1.000	/data/adb/ksu/KernelSU_越狱
0x1B6C48	0x95894	0x2A896C	0x2E951	16	28	1.000	/data/adb/ksu/KernelSU_NULL
