caller	callsite	target	target_name	note
0x94444	0x94484	0x2929A0	PLT___libc_init	
0x944B8	0x944D8	0x1B4004	FUN_00000000001B4004	decrypt 0x2A8740='https://jx.yhyun.asia/dmkpz'
0x944B8	0x944F4	0x967B0	FUN_00000000000967B0	
0x944B8	0x9450C	0x2929B0	PLT___cxa_atexit	
0x94520	0x94544	0x1B4268	FUN_00000000001B4268	decrypt 0x2A8760='YH_YC'
0x94520	0x94554	0x967B0	FUN_00000000000967B0	
0x94520	0x94574	0x2929B0	PLT___cxa_atexit	
0x94588	0x945AC	0x1B4400	FUN_00000000001B4400	decrypt 0x2A876C='1c100d799f0a33b7b6bea3d0c87d029942aed0d76068513727164b455707ea70'
0x94588	0x945BC	0x967B0	FUN_00000000000967B0	
0x94588	0x945DC	0x2929B0	PLT___cxa_atexit	
0x945F0	0x94614	0x1B44E4	FUN_00000000001B44E4	decrypt 0x2A87B4='/api.php'
0x945F0	0x9462C	0x96844	FUN_0000000000096844	
0x945F0	0x9464C	0x2929B0	PLT___cxa_atexit	
0x94660	0x9468C	0x1B45E0	FUN_00000000001B45E0	decrypt 0x2A87C4='?id='
0x94660	0x946A4	0x96844	FUN_0000000000096844	
0x94660	0x946B8	0x96AE4	FUN_0000000000096AE4	
0x94660	0x946D4	0x1B46C4	FUN_00000000001B46C4	decrypt 0x2A87D0='&file=zljx.json'
0x94660	0x946F0	0x96A88	FUN_0000000000096A88	
0x94660	0x946F8	0x24C934	FUN_000000000024C934	
0x94660	0x9470C	0x24C934	FUN_000000000024C934	
0x94660	0x94720	0x2929B0	PLT___cxa_atexit	
0x94660	0x9474C	0x2929C0	PLT___stack_chk_fail	
0x94750	0x94780	0x1B45E0	FUN_00000000001B45E0	decrypt 0x2A87C4='?id='
0x94750	0x94798	0x96844	FUN_0000000000096844	
0x94750	0x947B0	0x96AE4	FUN_0000000000096AE4	
0x94750	0x947C8	0x1B4864	FUN_00000000001B4864	
0x94750	0x947DC	0x96A88	FUN_0000000000096A88	
0x94750	0x947E8	0x24C934	FUN_000000000024C934	
0x94750	0x947F4	0x24C934	FUN_000000000024C934	
0x94750	0x94810	0x2929B0	PLT___cxa_atexit	
0x94750	0x94838	0x2929C0	PLT___stack_chk_fail	
0x9483C	0x948F0	0x1B4B80	FUN_00000000001B4B80	decrypt 0x2A87F8='?action=libcurl&id='
0x9483C	0x94948	0x96844	FUN_0000000000096844	
0x9483C	0x94964	0x96AE4	FUN_0000000000096AE4	
0x9483C	0x9496C	0x24C934	FUN_000000000024C934	
0x9483C	0x94984	0x2929B0	PLT___cxa_atexit	
0x9483C	0x94A0C	0x96844	FUN_0000000000096844	
0x9483C	0x94A28	0x96AE4	FUN_0000000000096AE4	
0x9483C	0x94A30	0x24C934	FUN_000000000024C934	
0x9483C	0x94A48	0x2929B0	PLT___cxa_atexit	
0x9483C	0x94A50	0x2929C0	PLT___stack_chk_fail	
0x94A54	0x94A7C	0x1B4D24	FUN_00000000001B4D24	
0x94A54	0x94A9C	0x96844	FUN_0000000000096844	
0x94A54	0x94AB4	0x96AE4	FUN_0000000000096AE4	
0x94A54	0x94ACC	0x1B4EBC	FUN_00000000001B4EBC	decrypt 0x2A8828='&id='
0x94A54	0x94AE4	0x96A88	FUN_0000000000096A88	
0x94A54	0x94AEC	0x24C934	FUN_000000000024C934	
0x94A54	0x94B00	0x24C934	FUN_000000000024C934	
0x94A54	0x94B14	0x2929B0	PLT___cxa_atexit	
0x94A54	0x94B40	0x2929C0	PLT___stack_chk_fail	
0x94B44	0x94B68	0x1B5064	FUN_00000000001B5064	decrypt 0x2A8834='/data/adb/modules/'
0x94B44	0x94B80	0x24DD04	FUN_000000000024DD04	
0x94B44	0x94BA0	0x2929B0	PLT___cxa_atexit	
0x94C68	0x94C84	0x1B520C	FUN_00000000001B520C	decrypt 0x2A884C='/data/adb/modules_update/'
0x94C68	0x94CA4	0x24DD04	FUN_000000000024DD04	
0x94C68	0x94CC4	0x2929B0	PLT___cxa_atexit	
0x94CD0	0x94CF4	0x1B541C	FUN_00000000001B541C	decrypt 0x2A886C='/data/adb/YH/'
0x94CD0	0x94D0C	0x24DD04	FUN_000000000024DD04	
0x94CD0	0x94D2C	0x2929B0	PLT___cxa_atexit	
0x94D40	0x94D5C	0x1B55E8	FUN_00000000001B55E8	decrypt 0x2A8880='/conf'
0x94D40	0x94D7C	0x96844	FUN_0000000000096844	
0x94D40	0x94D9C	0x2929B0	PLT___cxa_atexit	
0x94DA8	0x94DC8	0x1B56BC	FUN_00000000001B56BC	decrypt 0x2A888C='/tmp'
0x94DA8	0x94DEC	0x96844	FUN_0000000000096844	
0x94DA8	0x94E04	0x2929B0	PLT___cxa_atexit	
0x94ECC	0x94EE8	0x1B5888	FUN_00000000001B5888	
0x94ECC	0x94F08	0x96844	FUN_0000000000096844	
0x94ECC	0x94F28	0x2929B0	PLT___cxa_atexit	
0x94F34	0x94FB4	0x1B5BE4	FUN_00000000001B5BE4	
0x94F34	0x9502C	0x96844	FUN_0000000000096844	
0x94F34	0x9504C	0x2929B0	PLT___cxa_atexit	
0x94F34	0x95068	0x1B5BE4	FUN_00000000001B5BE4	
0x95070	0x950AC	0x1B5E3C	FUN_00000000001B5E3C	
0x95070	0x950C4	0x96844	FUN_0000000000096844	
0x95070	0x95134	0x2929B0	PLT___cxa_atexit	
0x95070	0x95250	0x2929B0	PLT___cxa_atexit	
0x9525C	0x95278	0x1B6098	FUN_00000000001B6098	decrypt 0x2A88C8='/pkg'
0x9525C	0x95298	0x96844	FUN_0000000000096844	
0x9525C	0x952B8	0x2929B0	PLT___cxa_atexit	
0x952C4	0x95344	0x1B6244	FUN_00000000001B6244	decrypt 0x2A88D4='/lib'
0x952C4	0x953BC	0x96844	FUN_0000000000096844	
0x952C4	0x953DC	0x2929B0	PLT___cxa_atexit	
0x952C4	0x953F8	0x1B6244	FUN_00000000001B6244	decrypt 0x2A88D4='/lib'
0x95400	0x9541C	0x1B63D4	FUN_00000000001B63D4	decrypt 0x2A88E0='/webui'
0x95400	0x9543C	0x96844	FUN_0000000000096844	
0x95400	0x9545C	0x2929B0	PLT___cxa_atexit	
0x95468	0x954EC	0x1B64D8	FUN_00000000001B64D8	decrypt 0x2A88EC='/vbmeta.hash'
0x95468	0x95504	0x96844	FUN_0000000000096844	
0x95468	0x9557C	0x2929B0	PLT___cxa_atexit	
0x95468	0x955A0	0x1B64D8	FUN_00000000001B64D8	decrypt 0x2A88EC='/vbmeta.hash'
0x95468	0x955B8	0x96844	FUN_0000000000096844	
0x955C0	0x955E0	0x1B65BC	FUN_00000000001B65BC	decrypt 0x2A8900='/config.prop'
0x955C0	0x95604	0x96844	FUN_0000000000096844	
0x955C0	0x9561C	0x2929B0	PLT___cxa_atexit	
0x95630	0x956B0	0x1B676C	FUN_00000000001B676C	decrypt 0x2A8914='/state.prop'
0x95630	0x95728	0x96844	FUN_0000000000096844	
0x95630	0x95748	0x2929B0	PLT___cxa_atexit	
0x95630	0x95764	0x1B676C	FUN_00000000001B676C	decrypt 0x2A8914='/state.prop'
0x9576C	0x957F0	0x1B6858	FUN_00000000001B6858	decrypt 0x2A8924='/data/adb/ksu/KernelSU_越狱'
0x9576C	0x957FC	0x967B0	FUN_00000000000967B0	
0x9576C	0x95864	0x1B696C	FUN_00000000001B696C	
0x9576C	0x95870	0x967B0	FUN_00000000000967B0	
0x9576C	0x95894	0x1B6C48	FUN_00000000001B6C48	decrypt 0x2A896C='/data/adb/ksu/KernelSU_NULL'
0x9576C	0x958A0	0x967B0	FUN_00000000000967B0	
0x9576C	0x958C4	0x1B6F5C	FUN_00000000001B6F5C	
0x9576C	0x958D0	0x967B0	FUN_00000000000967B0	
0x9576C	0x958F4	0x1B740C	FUN_00000000001B740C	decrypt 0x2A89A4='/data/adb/magisk/Magisk'
0x9576C	0x95900	0x967B0	FUN_00000000000967B0	
0x9576C	0x95924	0x96B30	FUN_0000000000096B30	
0x9576C	0x95998	0x24C934	FUN_000000000024C934	
